EndTCORE_C,Heart_rate_bpm,Sweat_rate_Lh1,WBGT_C,Speed_kmh1,VO2MAX_mLkg1min1
40.75,178,1.54,29.71,10.1,63.3
39.55,153,1.14,29.85,9.7,54.7
38.9,135,1.46,29.77,9.2,65.2
39.72,137,1.01,29.88,9.9,67.0
39.65,152,1.55,30.18,9.7,60.9
40.06,151,2.27,29.87,10.8,65.4
39.7,157,1.73,29.81,9.8,55.2
40.38,170,1.4,29.92,13.1,64.2
39.26,160,1.91,29.79,10.6,55.0
40.44,164,1.44,29.83,9.5,61.0
39.8,149,1.94,29.87,10.1,56.6
40.7,176,1.59,29.8,11.4,63.3
40.23,161,1.58,29.97,10.6,54.7
38.73,136,1.64,29.88,10.5,65.2
39.09,137,0.95,29.95,9.6,67.0
39.15,132,1.28,29.95,8.0,60.9
40.48,159,3.53,29.91,12.2,65.4
39.43,163,2.32,29.92,11.2,55.2
39.87,166,1.33,29.93,12.3,64.2
39.98,163,1.61,29.7,10.5,55.0
40.65,162,1.48,29.83,10.3,61.0
40.2,158,2.22,29.72,10.5,56.6
39.28,157,3.31,28.97,9.5,41.5
39.16,145,4.13,27.7,12.2,50.4
39.34,159,5.23,27.91,8.9,59.1
39.72,170,3.89,27.97,13.0,48.2
39.1,163,4.06,27.86,13.6,53.3
39.69,162,2.14,27.66,13.3,44.5
39.72,169,2.98,28.15,10.0,55.7
39.79,170,3.96,28.34,10.7,49.5
39.39,162,2.99,27.93,9.6,48.5
39.13,153,3.47,27.83,8.4,45.7
39.49,161,3.18,27.53,11.9,52.7
40.19,163,3.05,29.41,14.6,44.4
39.15,155,5.58,27.74,10.8,50.4
38.88,154,5.01,28.04,10.2,52.6
39.81,144,3.74,28.01,9.7,57.1
39.41,168,2.67,28.04,13.3,45.8
39.73,159,2.65,27.75,10.8,50.6
39.48,149,3.56,28.06,9.9,44.2
38.33,140,0.99,25.86,9.5,57.3
38.86,148,2.15,25.76,12.2,58.6
39.13,152,1.5,25.41,8.9,70.1
38.74,134,1.58,25.21,13.0,49.6
39.01,148,2.06,26.11,13.6,48.6
39.59,161,1.1,25.85,13.3,53.7
39.66,157,1.61,25.38,10.0,66.3
39.58,147,1.48,25.14,10.7,62.4
39.39,157,1.0,25.87,9.6,58.7
38.96,133,1.2,27.84,10.9,57.3
38.72,150,2.53,27.4,12.2,58.6
39.73,159,1.68,27.71,12.3,70.1
38.65,135,1.21,27.95,13.0,49.6
39.59,159,2.19,28.23,10.7,48.6
38.7,165,1.85,28.22,11.5,53.7
39.17,155,1.89,28.32,14.9,66.3
39.93,150,1.53,27.79,13.5,62.4
39.12,163,1.49,28.05,10.6,58.7
38.94,141,1.42,30.73,10.8,57.3
39.51,156,2.53,30.4,12.4,58.6
39.97,161,1.32,30.46,13.5,70.1
39.66,145,1.67,30.87,12.7,49.6
39.71,153,2.41,30.97,10.1,48.6
39.94,169,1.57,30.74,10.9,53.7
40.06,159,1.94,30.59,13.9,66.3
40.34,148,1.23,30.2,13.9,62.4
39.18,164,1.28,30.71,11.4,58.7
39.61,168,1.29,28.9,10.6,45.4
39.73,157,2.44,29.36,12.1,57.9
39.17,172,1.17,28.53,11.9,45.1
40.56,169,2.01,28.91,11.3,58.2
39.19,160,2.26,28.9,9.7,50.4
39.6,163,2.2,28.75,10.2,55.0
39.5,165,1.64,28.79,13.3,49.6
39.95,164,1.53,28.88,12.2,44.1
